Number of sim 	 Missing Snps
0	96
1	75
2	101
3	100
4	101
5	79
6	79
7	77
8	68
9	101
10	97
11	89
12	86
13	81
14	50
15	101
16	89
17	88
18	101
19	94
20	88
21	73
22	72
23	57
24	45
25	45
26	43
27	38
28	34
29	34
30	34
31	32
32	32
33	32
34	31
35	31
36	31
37	31
38	27
39	27
40	26
41	26
42	26
43	26
44	25
45	22
46	22
47	22
48	21
49	21
50	20
51	19
52	18
53	18
54	18
55	18
56	17
57	17
58	17
59	17
60	101
61	96
62	92
63	83
64	82
65	61
66	101
67	80
68	72
69	101
70	101
71	78
72	75
73	73
74	72
75	63
76	62
77	61
78	57
79	49
80	101
81	101
82	97
83	93
84	84
85	83
86	78
87	76
88	66
89	59
90	57
91	48
92	41
93	40
94	32
95	30
96	28
97	27
98	27
99	27
100	23
101	19
102	19
103	19
104	19
105	19
106	18
107	17
108	16
109	16
110	16
111	14
112	14
113	14
114	14
115	14
116	14
117	14
118	13
119	13
120	13
121	13
122	13
123	13
124	101
