Number of sim 	 Missing Snps
0	101
1	83
2	76
3	69
4	101
5	98
6	95
7	82
8	67
9	60
10	101
11	82
12	78
13	66
14	64
15	59
16	52
17	50
18	101
19	92
20	86
21	68
22	101
23	80
24	101
25	100
26	79
27	76
28	65
29	63
30	60
31	54
32	44
33	44
34	43
35	37
36	37
37	101
38	86
39	85
40	82
41	75
42	73
43	71
44	70
45	70
46	68
47	101
48	77
49	65
50	64
51	58
52	55
53	50
54	49
55	101
56	74
57	69
58	66
59	64
60	61
61	55
62	48
63	46
64	45
65	34
66	31
67	31
68	30
69	29
70	28
71	26
72	23
73	22
74	21
75	21
76	20
77	20
78	20
79	20
80	18
81	101
82	76
83	73
84	64
85	43
86	41
87	34
88	31
89	31
90	101
91	100
92	79
93	70
94	68
95	62
96	59
97	101
98	100
99	68
100	53
101	53
102	101
103	99
104	96
105	74
106	65
107	56
108	52
109	45
110	43
111	43
112	43
113	38
114	32
115	29
116	25
117	25
118	101
119	91
120	101
121	86
122	85
123	63
124	62
