Number of sim 	 Missing Snps
0	91
1	87
2	83
3	51
4	47
5	42
6	42
7	40
8	38
9	37
10	35
11	33
12	33
13	33
14	32
15	31
16	30
17	30
18	29
19	28
20	101
21	93
22	81
23	80
24	72
25	70
26	47
27	46
28	46
29	43
30	43
31	43
32	41
33	36
34	36
35	34
36	31
37	31
38	28
39	101
40	84
41	74
42	63
43	58
44	43
45	39
46	101
47	83
48	82
49	82
50	73
51	58
52	55
53	54
54	49
55	46
56	46
57	46
58	41
59	36
60	34
61	33
62	32
63	32
64	31
65	27
66	25
67	25
68	25
69	25
70	25
71	25
72	25
73	25
74	22
75	21
76	21
77	21
78	21
79	21
80	20
81	20
82	20
83	20
84	20
85	19
86	18
87	17
88	16
89	16
90	16
91	101
92	93
93	85
94	79
95	71
96	59
97	54
98	51
99	47
100	37
101	31
102	28
103	28
104	27
105	27
106	27
107	101
108	72
109	101
110	62
111	52
112	46
113	44
114	39
115	37
116	35
117	33
118	31
119	31
120	27
121	23
122	22
123	19
124	101
