Number of sim 	 Missing Snps
0	86
1	85
2	84
3	72
4	70
5	67
6	60
7	51
8	101
9	101
10	101
11	100
12	101
13	95
14	101
15	95
16	92
17	91
18	90
19	85
20	83
21	72
22	101
23	82
24	101
25	94
26	89
27	81
28	75
29	70
30	69
31	63
32	59
33	101
34	82
35	75
36	70
37	67
38	52
39	47
40	47
41	47
42	43
43	41
44	35
45	33
46	101
47	69
48	58
49	55
50	49
51	49
52	47
53	101
54	81
55	57
56	56
57	47
58	101
59	98
60	91
61	87
62	75
63	66
64	51
65	49
66	48
67	48
68	43
69	32
70	32
71	27
72	27
73	27
74	23
75	22
76	22
77	20
78	19
79	17
80	17
81	16
82	16
83	16
84	101
85	81
86	78
87	67
88	65
89	59
90	58
91	58
92	101
93	99
94	72
95	59
96	101
97	98
98	88
99	73
100	101
101	94
102	84
103	66
104	63
105	53
106	101
107	72
108	71
109	59
110	49
111	48
112	48
113	46
114	43
115	36
116	30
117	30
118	30
119	27
120	27
121	25
122	25
123	25
124	25
125	25
126	25
127	24
128	23
129	22
130	21
131	21
132	20
133	20
134	20
135	18
136	18
137	18
138	18
139	18
140	18
141	18
142	16
143	16
144	16
145	101
146	65
147	101
148	101
149	101
150	88
151	87
152	79
153	70
154	70
155	66
156	56
157	55
158	48
159	101
160	82
161	70
162	59
163	101
164	92
165	81
166	76
167	56
168	54
169	53
170	42
171	42
172	101
173	95
174	101
175	101
176	97
177	72
178	59
179	53
180	49
181	47
182	46
183	44
184	40
185	101
186	83
187	77
188	70
189	69
190	56
191	55
192	45
193	42
194	39
195	38
196	35
197	34
198	30
199	29
200	28
201	27
202	27
203	101
204	98
205	97
206	78
207	66
208	60
209	56
210	54
211	54
212	48
213	48
214	101
215	82
216	76
217	101
218	99
219	98
220	85
221	80
222	71
223	65
224	64
225	63
226	101
227	82
228	72
229	60
230	55
231	47
232	42
233	41
234	41
235	41
236	101
237	92
238	78
239	71
240	67
241	65
242	54
243	101
244	97
245	84
246	101
247	98
248	80
249	76
