Number of sim 	 Missing Snps
0	86
1	75
2	59
3	55
4	54
5	53
6	47
7	46
8	45
9	41
10	41
11	41
12	40
13	40
14	37
15	34
16	30
17	29
18	26
19	26
20	25
21	25
22	23
23	20
24	20
25	19
26	19
27	19
28	19
29	19
30	18
31	18
32	18
33	18
34	18
35	18
36	18
37	17
38	16
39	101
40	76
41	73
42	62
43	53
44	49
45	47
46	43
47	42
48	40
49	40
50	39
51	34
52	31
53	31
54	31
55	31
56	101
57	93
58	57
59	49
60	41
61	41
62	34
63	34
64	101
65	71
66	60
67	58
68	56
69	52
70	49
71	44
72	41
73	38
74	35
75	101
76	96
77	82
78	81
79	65
80	58
81	50
82	47
83	44
84	101
85	90
86	101
87	85
88	83
89	101
90	76
91	74
92	70
93	67
94	101
95	75
96	56
97	55
98	54
99	52
100	47
101	41
102	41
103	37
104	36
105	36
106	34
107	33
108	33
109	32
110	31
111	31
112	28
113	24
114	101
115	97
116	96
117	83
118	75
119	72
120	48
121	101
122	96
123	76
124	73
125	62
126	60
127	58
128	56
129	101
130	94
131	91
132	101
133	96
134	87
135	75
136	55
137	51
138	50
139	101
140	82
141	82
142	66
143	56
144	101
145	93
146	87
147	73
148	59
149	56
150	54
151	53
152	51
153	101
154	90
155	72
156	65
157	64
158	101
159	91
160	83
161	69
162	59
163	58
164	58
165	49
166	46
167	42
168	38
169	36
170	35
171	34
172	30
173	29
174	28
175	27
176	27
177	27
178	25
179	24
180	23
181	23
182	23
183	23
184	22
185	21
186	21
187	101
188	68
189	61
190	60
191	57
192	49
193	38
194	35
195	33
196	33
197	32
198	31
199	27
200	27
201	27
202	27
203	25
204	25
205	24
206	22
207	22
208	22
209	101
210	101
211	91
212	88
213	73
214	73
215	59
216	58
217	51
218	50
219	44
220	43
221	101
222	100
223	77
224	60
225	58
226	53
227	46
228	45
229	41
230	36
231	101
232	86
233	70
234	59
235	52
236	47
237	47
238	45
239	101
240	95
241	93
242	61
243	45
244	39
245	38
246	33
247	32
248	101
249	99
