Number of sim 	 Missing Snps
0	98
1	94
2	78
3	64
4	101
5	81
6	69
7	60
8	59
9	54
10	51
11	48
12	44
13	43
14	35
15	35
16	33
17	29
18	27
19	27
20	25
21	25
22	25
23	25
24	25
25	101
26	90
27	74
28	73
29	72
30	63
31	51
32	51
33	49
34	45
35	42
36	40
37	37
38	35
39	35
40	34
41	33
42	31
43	29
44	29
45	28
46	26
47	25
48	101
49	97
50	78
51	62
52	56
53	52
54	51
55	43
56	42
57	39
58	36
59	36
60	28
61	25
62	24
63	21
64	21
65	101
66	95
67	85
68	68
69	66
70	101
71	95
72	72
73	64
74	64
75	101
76	99
77	95
78	81
79	69
80	57
81	52
82	101
83	101
84	71
85	65
86	101
87	78
88	77
89	65
90	62
91	60
92	56
93	56
94	56
95	49
96	42
97	41
98	37
99	101
100	75
101	101
102	87
103	73
104	60
105	55
106	54
107	47
108	44
109	35
110	35
111	35
112	30
113	29
114	28
115	28
116	27
117	25
118	24
119	20
120	20
121	20
122	101
123	91
124	87
125	85
126	79
127	77
128	101
129	99
130	91
131	87
132	72
133	67
134	57
135	50
136	45
137	45
138	40
139	101
140	88
141	76
142	61
143	45
144	101
145	89
146	77
147	71
148	67
149	101
150	64
151	63
152	59
153	58
154	57
155	45
156	41
157	40
158	39
159	35
160	35
161	34
162	34
163	32
164	32
165	28
166	27
167	25
168	23
169	23
170	23
171	19
172	19
173	18
174	101
175	86
176	101
177	90
178	86
179	85
180	84
181	74
182	71
183	62
184	51
185	50
186	101
187	101
188	81
189	77
190	60
191	59
192	58
193	52
194	45
195	31
196	30
197	30
198	30
199	29
200	27
201	26
202	101
203	100
204	93
205	78
206	66
207	65
208	65
209	64
210	63
211	61
212	61
213	59
214	51
215	46
216	46
217	45
218	43
219	41
220	35
221	31
222	30
223	28
224	28
225	28
226	26
227	101
228	100
229	88
230	60
231	56
232	56
233	52
234	101
235	100
236	83
237	78
238	101
239	95
240	83
241	73
242	101
243	100
244	87
245	85
246	67
247	59
248	101
249	88
250	86
251	64
252	51
253	101
254	89
255	70
256	69
257	69
258	61
259	61
260	41
261	101
262	99
263	71
264	61
265	50
266	101
267	97
268	101
269	97
270	85
271	82
272	80
273	70
274	66
275	46
276	43
277	42
278	41
279	38
280	37
281	101
282	97
283	90
284	87
285	67
286	101
287	88
288	84
289	101
290	101
291	91
292	78
293	65
294	54
295	53
296	51
297	101
298	101
299	98
300	87
301	74
302	61
303	59
304	49
305	46
306	45
307	37
308	37
309	37
310	34
311	101
312	89
313	78
314	74
315	67
316	101
317	101
318	97
319	101
320	98
321	96
322	93
323	92
324	76
325	66
326	42
327	41
328	41
329	39
330	38
331	38
332	35
333	35
334	34
335	33
336	31
337	27
338	101
339	101
340	89
341	80
342	73
343	69
344	58
345	56
346	56
347	56
348	51
349	50
350	45
351	42
352	42
353	38
354	34
355	32
356	29
357	29
358	28
359	101
360	93
361	89
362	76
363	101
364	91
365	79
366	74
367	65
368	63
369	59
370	53
371	46
372	39
373	34
374	31
375	30
376	29
377	28
378	27
379	101
380	86
381	81
382	68
383	60
384	54
385	51
386	46
387	43
388	43
389	39
390	37
391	35
392	34
393	33
394	33
395	33
396	33
397	32
398	31
399	26
400	25
401	24
402	101
403	87
404	86
405	71
406	70
407	67
408	50
409	46
410	45
411	41
412	40
413	40
414	40
415	39
416	36
417	34
418	32
419	31
420	101
421	73
422	72
423	71
424	71
425	68
426	66
427	57
428	57
429	53
430	101
431	93
432	89
433	87
434	82
435	101
436	70
437	69
438	65
439	61
440	59
441	56
442	45
443	43
444	38
445	37
446	36
447	34
448	101
449	76
450	72
451	70
452	56
453	53
454	51
455	50
456	44
457	40
458	32
459	31
460	28
461	25
462	22
463	21
464	21
465	18
466	18
467	18
468	18
469	18
470	18
471	18
472	18
473	18
474	18
475	101
476	83
477	82
478	71
479	60
480	44
481	41
482	40
483	34
484	34
485	31
486	31
487	29
488	28
489	27
490	27
491	23
492	22
493	21
494	21
495	101
496	70
497	64
498	59
499	56
