Number of sim 	 Missing Snps
0	100
1	89
2	77
3	66
4	63
5	62
6	52
7	47
8	36
9	36
10	101
11	100
12	81
13	78
14	76
15	76
16	72
17	65
18	57
19	57
20	101
21	83
22	79
23	75
24	66
25	65
26	63
27	101
28	96
29	101
30	101
31	82
32	81
33	76
34	71
35	64
36	64
37	60
38	56
39	53
40	53
41	52
42	52
43	46
44	41
45	38
46	37
47	101
48	79
49	64
50	44
51	44
52	36
53	33
54	101
55	100
56	97
57	94
58	89
59	81
60	72
61	64
62	59
63	59
64	58
65	58
66	52
67	49
68	43
69	39
70	36
71	31
72	31
73	29
74	25
75	24
76	23
77	19
78	19
79	19
80	17
81	16
82	15
83	15
84	15
85	15
86	15
87	15
88	15
89	15
90	15
91	14
92	14
93	14
94	14
95	14
96	14
97	12
98	12
99	12
100	12
101	12
102	11
103	11
104	11
105	11
106	11
107	11
108	11
109	11
110	11
111	11
112	11
113	11
114	11
115	11
116	11
117	10
118	10
119	10
120	10
121	10
122	10
123	10
124	10
