Number of sim 	 Missing Snps
0	90
1	80
2	78
3	76
4	69
5	101
6	96
7	101
8	89
9	82
10	81
11	80
12	78
13	71
14	101
15	101
16	94
17	85
18	77
19	101
20	100
21	95
22	101
23	80
24	78
25	76
26	101
27	96
28	90
29	86
30	76
31	66
32	58
33	101
34	101
35	89
36	79
37	101
38	101
39	99
40	101
41	100
42	95
43	101
44	92
45	86
46	101
47	100
48	101
49	101
50	98
51	101
52	99
53	101
54	100
55	99
56	98
57	77
58	75
59	74
60	101
61	98
62	80
63	80
64	79
65	65
66	61
67	57
68	56
69	101
70	96
71	87
72	101
73	81
74	79
75	76
76	75
77	74
78	101
79	100
80	96
81	90
82	75
83	66
84	65
85	55
86	55
87	101
88	98
89	86
90	77
91	70
92	101
93	84
94	82
95	75
96	75
97	101
98	90
99	101
100	91
101	85
102	78
103	78
104	68
105	67
106	66
107	46
108	101
109	100
110	92
111	89
112	101
113	93
114	84
115	82
116	101
117	101
118	100
119	92
120	73
121	66
122	101
123	91
124	85
