Number of sim 	 Missing Snps
0	96
1	80
2	76
3	74
4	70
5	66
6	63
7	63
8	56
9	51
10	37
11	33
12	32
13	29
14	26
15	25
16	24
17	24
18	24
19	24
20	24
21	101
22	88
23	61
24	55
25	48
26	47
27	45
28	41
29	35
30	34
31	27
32	26
33	25
34	23
35	21
36	18
37	18
38	18
39	18
40	15
41	15
42	14
43	14
44	13
45	13
46	13
47	13
48	13
49	13
50	12
51	12
52	101
53	96
54	96
55	71
56	101
57	79
58	66
59	66
60	64
61	60
62	51
63	50
64	44
65	35
66	35
67	33
68	32
69	32
70	28
71	28
72	27
73	101
74	84
75	77
76	77
77	76
78	76
79	72
80	63
81	45
82	45
83	41
84	37
85	33
86	32
87	32
88	32
89	32
90	31
91	28
92	28
93	28
94	22
95	101
96	86
97	71
98	68
99	63
100	50
101	46
102	46
103	42
104	40
105	37
106	36
107	32
108	31
109	27
110	27
111	27
112	26
113	25
114	24
115	24
116	24
117	23
118	23
119	22
120	22
121	101
122	81
123	81
124	74
