Number of sim 	 Missing Snps
0	91
1	83
2	74
3	57
4	51
5	45
6	38
7	32
8	32
9	31
10	31
11	30
12	30
13	29
14	29
15	28
16	27
17	27
18	27
19	27
20	27
21	101
22	86
23	78
24	67
25	59
26	54
27	101
28	91
29	72
30	62
31	62
32	58
33	58
34	56
35	54
36	49
37	49
38	48
39	48
40	43
41	37
42	35
43	32
44	101
45	97
46	81
47	101
48	98
49	91
50	70
51	70
52	66
53	56
54	50
55	101
56	85
57	72
58	63
59	52
60	101
61	101
62	101
63	96
64	58
65	58
66	101
67	89
68	85
69	101
70	97
71	101
72	101
73	101
74	86
75	85
76	81
77	80
78	101
79	81
80	74
81	70
82	67
83	59
84	101
85	74
86	62
87	49
88	49
89	48
90	45
91	36
92	35
93	101
94	92
95	82
96	78
97	62
98	54
99	46
100	45
101	42
102	40
103	39
104	35
105	33
106	30
107	27
108	25
109	25
110	25
111	25
112	24
113	23
114	23
115	21
116	21
117	21
118	20
119	19
120	19
121	19
122	19
123	18
124	18
