Number of sim 	 Missing Snps
0	99
1	98
2	78
3	75
4	62
5	49
6	39
7	37
8	36
9	34
10	33
11	33
12	32
13	27
14	25
15	25
16	25
17	25
18	24
19	23
20	23
21	23
22	22
23	22
24	20
25	19
26	18
27	18
28	18
29	101
30	93
31	90
32	85
33	80
34	64
35	59
36	53
37	52
38	49
39	40
40	101
41	81
42	79
43	50
44	48
45	45
46	42
47	42
48	37
49	35
50	34
51	30
52	29
53	27
54	27
55	25
56	24
57	24
58	22
59	20
60	19
61	19
62	19
63	19
64	19
65	19
66	18
67	16
68	16
69	16
70	16
71	16
72	16
73	101
74	101
75	93
76	67
77	57
78	41
79	36
80	35
81	31
82	29
83	29
84	29
85	27
86	25
87	101
88	78
89	67
90	51
91	45
92	42
93	42
94	41
95	38
96	101
97	98
98	94
99	83
100	101
101	95
102	89
103	87
104	81
105	78
106	73
107	60
108	52
109	101
110	96
111	57
112	48
113	40
114	39
115	38
116	36
117	33
118	33
119	33
120	101
121	87
122	86
123	68
124	59
125	56
126	52
127	51
128	42
129	37
130	33
131	29
132	24
133	24
134	24
135	24
136	24
137	23
138	101
139	101
140	91
141	90
142	64
143	61
144	58
145	101
146	92
147	78
148	65
149	101
150	91
151	81
152	74
153	69
154	61
155	53
156	51
157	47
158	46
159	44
160	42
161	37
162	35
163	33
164	31
165	28
166	28
167	28
168	26
169	101
170	94
171	90
172	75
173	61
174	55
175	46
176	101
177	98
178	69
179	63
180	60
181	101
182	99
183	101
184	69
185	69
186	68
187	56
188	101
189	94
190	101
191	100
192	64
193	58
194	101
195	85
196	63
197	59
198	57
199	50
200	50
201	43
202	42
203	40
204	38
205	101
206	97
207	96
208	75
209	101
210	98
211	93
212	80
213	80
214	79
215	101
216	71
217	68
218	61
219	60
220	58
221	50
222	47
223	40
224	101
225	99
226	75
227	101
228	92
229	101
230	89
231	67
232	44
233	44
234	41
235	39
236	39
237	38
238	37
239	36
240	36
241	31
242	29
243	27
244	26
245	24
246	24
247	101
248	101
249	78
