Number of sim 	 Missing Snps
0	94
1	78
2	70
3	101
4	97
5	75
6	70
7	64
8	61
9	57
10	53
11	47
12	101
13	100
14	96
15	94
16	93
17	88
18	87
19	73
20	69
21	65
22	63
23	62
24	57
25	53
26	48
27	46
28	46
29	101
30	101
31	90
32	89
33	77
34	69
35	64
36	48
37	101
38	99
39	94
40	101
41	82
42	73
43	67
44	61
45	61
46	61
47	50
48	50
49	101
50	85
51	63
52	59
53	50
54	46
55	44
56	32
57	30
58	101
59	86
60	64
61	64
62	47
63	45
64	42
65	39
66	38
67	37
68	34
69	28
70	27
71	27
72	24
73	24
74	24
75	24
76	24
77	22
78	21
79	101
80	88
81	87
82	77
83	71
84	101
85	95
86	82
87	64
88	101
89	90
90	77
91	59
92	53
93	49
94	47
95	42
96	39
97	28
98	27
99	26
100	21
101	20
102	17
103	17
104	17
105	17
106	101
107	62
108	55
109	55
110	48
111	101
112	67
113	101
114	80
115	70
116	60
117	59
118	57
119	51
120	50
121	41
122	39
123	38
124	35
125	34
126	33
127	32
128	32
129	32
130	31
131	31
132	29
133	29
134	27
135	24
136	24
137	101
138	65
139	51
140	101
141	92
142	92
143	66
144	50
145	101
146	68
147	61
148	50
149	49
150	47
151	47
152	44
153	44
154	101
155	96
156	95
157	65
158	65
159	101
160	74
161	65
162	57
163	54
164	46
165	43
166	42
167	40
168	38
169	37
170	33
171	32
172	30
173	30
174	26
175	24
176	23
177	23
178	21
179	101
180	68
181	68
182	65
183	64
184	101
185	78
186	74
187	67
188	64
189	61
190	54
191	52
192	47
193	37
194	34
195	29
196	28
197	28
198	26
199	25
200	24
201	24
202	23
203	23
204	23
205	23
206	23
207	22
208	22
209	21
210	21
211	20
212	20
213	18
214	17
215	101
216	93
217	81
218	79
219	74
220	60
221	50
222	49
223	44
224	39
225	36
226	101
227	94
228	82
229	74
230	65
231	63
232	63
233	59
234	56
235	53
236	45
237	36
238	34
239	34
240	33
241	31
242	30
243	28
244	28
245	26
246	101
247	87
248	78
249	58
250	51
251	48
252	45
253	44
254	101
255	82
256	74
257	66
258	53
259	46
260	46
261	42
262	39
263	38
264	36
265	35
266	101
267	87
268	86
269	101
270	85
271	81
272	74
273	65
274	65
275	61
276	53
277	48
278	101
279	93
280	83
281	68
282	64
283	64
284	50
285	49
286	49
287	41
288	40
289	37
290	31
291	29
292	29
293	27
294	26
295	26
296	25
297	22
298	20
299	20
300	20
301	19
302	18
303	18
304	17
305	17
306	15
307	15
308	15
309	12
310	101
311	93
312	76
313	72
314	65
315	59
316	56
317	54
318	48
319	45
320	42
321	38
322	28
323	27
324	27
325	24
326	24
327	23
328	23
329	101
330	86
331	84
332	101
333	85
334	78
335	78
336	73
337	57
338	55
339	53
340	49
341	43
342	41
343	38
344	34
345	101
346	91
347	101
348	90
349	58
350	48
351	46
352	101
353	78
354	50
355	48
356	47
357	46
358	46
359	42
360	42
361	42
362	41
363	39
364	38
365	35
366	35
367	31
368	101
369	98
370	68
371	65
372	62
373	56
374	52
375	48
376	44
377	42
378	40
379	101
380	97
381	95
382	92
383	77
384	63
385	101
386	85
387	79
388	65
389	59
390	56
391	53
392	49
393	101
394	99
395	88
396	76
397	72
398	101
399	59
400	50
401	45
402	41
403	40
404	36
405	34
406	34
407	101
408	101
409	96
410	84
411	82
412	70
413	61
414	50
415	101
416	101
417	101
418	92
419	66
420	49
421	49
422	38
423	38
424	101
425	95
426	77
427	101
428	101
429	84
430	69
431	68
432	101
433	97
434	96
435	91
436	87
437	66
438	66
439	61
440	52
441	46
442	33
443	25
444	25
445	25
446	23
447	23
448	20
449	20
450	19
451	19
452	18
453	18
454	101
455	93
456	78
457	101
458	82
459	65
460	101
461	66
462	63
463	55
464	55
465	101
466	87
467	77
468	101
469	92
470	83
471	101
472	93
473	101
474	87
475	82
476	75
477	56
478	53
479	48
480	41
481	34
482	34
483	101
484	89
485	81
486	77
487	76
488	67
489	59
490	101
491	73
492	65
493	56
494	50
495	43
496	42
497	34
498	34
499	26
